0 min;;10 min;;20 min;;30 min;;40 min;;50 min;;60 min;;90 min;;120 min;;
Long.de onda (nm);Abs;Long.de onda (nm);Abs;Long.de onda (nm);Abs;Long.de onda (nm);Abs;Long.de onda (nm);Abs;Long.de onda (nm);Abs;Long.de onda (nm);Abs;Long.de onda (nm);Abs;Long.de onda (nm);Abs;
777,0006714;-0,005889429245;777,0006714;-0,002858221531;777,0006714;-0,003113816492;777,0006714;-0,009619381279;777,0006714;-0,008127665147;777,0006714;-0,009070119821;777,0006714;-0,008508182131;777,0006714;-0,007993196137;777,0006714;-0,01010078192;
775,9859009;-0,005642515607;775,9859009;-0,002740939846;775,9859009;-0,00420263689;775,9859009;-0,009442163631;775,9859009;-0,008337519132;775,9859009;-0,01010862179;775,9859009;-0,008420243859;775,9859009;-0,008413236588;775,9859009;-0,01063419227;
775,0056763;-0,005287915934;775,0056763;-0,002391016111;775,0056763;-0,003365870332;775,0056763;-0,008750631474;775,0056763;-0,007909525186;775,0056763;-0,009607835673;775,0056763;-0,008684107102;775,0056763;-0,009166139178;775,0056763;-0,01067586895;
773,9901123;-0,00487257028;773,9901123;-0,003130059224;773,9901123;-0,004311732948;773,9901123;-0,009193410166;773,9901123;-0,008784321137;773,9901123;-0,009173032828;773,9901123;-0,00924764201;773,9901123;-0,009066672996;773,9901123;-0,01049134973;
773,0092773;-0,004779489245;773,0092773;-0,001573910704;773,0092773;-0,003561657155;773,0092773;-0,00848564133;773,0092773;-0,008486961015;773,0092773;-0,009207298048;773,0092773;-0,008326193318;773,0092773;-0,008864830248;773,0092773;-0,01064823661;
771,9928589;-0,006354775745;771,9928589;-0,002839911263;771,9928589;-0,003995596897;771,9928589;-0,009367791004;771,9928589;-0,0087572271;771,9928589;-0,009671282023;771,9928589;-0,008723992854;771,9928589;-0,008854837157;771,9928589;-0,01164673828;
771,0112915;-0,006180406082;771,0112915;-0,002485382836;771,0112915;-0,002930632094;771,0112915;-0,008618283086;771,0112915;-0,008273675106;771,0112915;-0,0088569168;771,0112915;-0,008216323331;771,0112915;-0,009398899041;771,0112915;-0,01178960409;
769,9941406;-0,006613268051;769,9941406;-0,002464843215;769,9941406;-0,002368824324;769,9941406;-0,009074176662;769,9941406;-0,008405214176;769,9941406;-0,00906829536;769,9941406;-0,009329383262;769,9941406;-0,008464012295;769,9941406;-0,01167687774;
769,0117798;-0,005735718645;769,0117798;-0,003585790517;769,0117798;-0,003720758948;769,0117798;-0,0097109247;769,0117798;-0,008757582866;769,0117798;-0,009580844082;769,0117798;-0,009007498622;769,0117798;-0,009011200629;769,0117798;-0,01198943704;
767,9938354;-0,006215520203;767,9938354;-0,003807909088;767,9938354;-0,003797439625;767,9938354;-0,009912070818;767,9938354;-0,009278556332;767,9938354;-0,01024420746;767,9938354;-0,0088569168;767,9938354;-0,01006805431;767,9938354;-0,01177690644;
767,0107422;-0,006326408125;767,0107422;-0,003518111072;767,0107422;-0,003931623884;767,0107422;-0,01001731399;767,0107422;-0,009143682197;767,0107422;-0,009802499786;767,0107422;-0,009409943596;767,0107422;-0,009496111423;767,0107422;-0,0121622961;
